siren,raison_sociale,secteur_naf,secteur_libelle,effectif_estime,effectif_min,effectif_max,obligation_beges,beges_publie,beges_valide,beges_decret_2022_compliant,contact_telephone,contact_email,contact_linkedin,statut
100000018,Entreprise 00018 SAS,G,"Commerce, réparation auto",6,6,9,False,False,,,True,False,True,sourced
100000019,Entreprise 00019 SAS,I,Hébergement et restauration,214,200,249,False,False,,,False,False,True,sourced
100000020,Entreprise 00020 SAS,G,"Commerce, réparation auto",2,1,2,False,False,,,False,False,True,sourced
100000021,Entreprise 00021 SAS,F,Construction,623,500,999,True,True,True,False,False,False,True,sourced
100000022,Entreprise 00022 SAS,G,"Commerce, réparation auto",3,3,5,False,False,,,False,False,True,sourced
100000023,Entreprise 00023 SAS,C,Industrie manufacturière,1,1,2,False,False,,,True,True,True,sourced
100000024,Entreprise 00024 SAS,G,"Commerce, réparation auto",2,1,2,False,False,,,False,True,False,sourced
100000025,Entreprise 00025 SAS,S,Autres services,7,6,9,False,False,,,False,False,True,sourced
100000026,Entreprise 00026 SAS,S,Autres services,6,6,9,False,False,,,False,False,True,sourced
100000027,Entreprise 00027 SAS,G,"Commerce, réparation auto",12,10,19,False,False,,,True,False,False,qualified
100000028,Entreprise 00028 SAS,M,Activités spé. scientifiques/techniques,30,20,49,False,False,,,False,False,True,sourced
100000029,Entreprise 00029 SAS,G,"Commerce, réparation auto",6,6,9,False,False,,,True,True,True,sourced
100000030,Entreprise 00030 SAS,J,Information et communication,1,1,2,False,False,,,False,False,True,sourced
100000031,Entreprise 00031 SAS,F,Construction,1054,1000,1999,True,False,,,False,True,True,sourced
100000032,Entreprise 00032 SAS,F,Construction,5,3,5,False,False,,,False,True,True,sourced
100000033,Entreprise 00033 SAS,M,Activités spé. scientifiques/techniques,390,250,499,False,False,,,True,False,False,sourced
100000034,Entreprise 00034 SAS,M,Activités spé. scientifiques/techniques,1,1,2,False,False,,,True,True,True,sourced
100000035,Entreprise 00035 SAS,C,Industrie manufacturière,20,20,49,False,False,,,False,True,True,sourced
100000036,Entreprise 00036 SAS,F,Construction,761,500,999,True,False,,,False,False,False,sourced
100000037,Entreprise 00037 SAS,G,"Commerce, réparation auto",1,1,2,False,False,,,False,False,True,sourced
100000038,Entreprise 00038 SAS,G,"Commerce, réparation auto",331,250,499,False,False,,,False,False,False,sourced
100000039,Entreprise 00039 SAS,S,Autres services,182,100,199,False,False,,,False,True,True,sourced
100000040,Entreprise 00040 SAS,C,Industrie manufacturière,1022,1000,1999,True,True,True,False,False,False,True,sourced
100000041,Entreprise 00041 SAS,M,Activités spé. scientifiques/techniques,2,1,2,False,False,,,False,False,True,sourced
100000042,Entreprise 00042 SAS,F,Construction,1622,1000,1999,True,True,False,,False,True,False,qualified
100000043,Entreprise 00043 SAS,G,"Commerce, réparation auto",15,10,19,False,False,,,True,True,True,contacted
100000044,Entreprise 00044 SAS,S,Autres services,4,3,5,False,False,,,False,False,True,sourced
100000045,Entreprise 00045 SAS,F,Construction,6,6,9,False,False,,,False,False,False,rejected
100000046,Entreprise 00046 SAS,G,"Commerce, réparation auto",15,10,19,False,False,,,True,True,False,sourced
100000047,Entreprise 00047 SAS,M,Activités spé. scientifiques/techniques,998,500,999,True,False,,,False,False,False,rejected
100000048,Entreprise 00048 SAS,M,Activités spé. scientifiques/techniques,19,10,19,False,False,,,False,False,True,sourced
100000049,Entreprise 00049 SAS,S,Autres services,41,20,49,False,False,,,True,False,True,sourced
100000050,Entreprise 00050 SAS,Q,Santé humaine et action sociale,419,250,499,False,False,,,True,True,False,sourced
100000051,Entreprise 00051 SAS,M,Activités spé. scientifiques/techniques,11,10,19,False,False,,,False,False,False,sourced
100000052,Entreprise 00052 SAS,Q,Santé humaine et action sociale,408,250,499,False,False,,,False,True,False,sourced
100000053,Entreprise 00053 SAS,I,Hébergement et restauration,209,200,249,False,False,,,False,True,False,sourced
100000054,Entreprise 00054 SAS,M,Activités spé. scientifiques/techniques,84,50,99,False,False,,,True,True,False,qualified
100000055,Entreprise 00055 SAS,S,Autres services,326,250,499,False,False,,,False,True,False,sourced
100000056,Entreprise 00056 SAS,C,Industrie manufacturière,649,500,999,True,False,,,True,True,True,sourced
100000057,Entreprise 00057 SAS,K,Activités financières et assurance,1,1,2,False,False,,,True,True,True,sourced
100000058,Entreprise 00058 SAS,I,Hébergement et restauration,1,1,2,False,False,,,True,False,False,qualified
100000059,Entreprise 00059 SAS,G,"Commerce, réparation auto",8,6,9,False,False,,,False,False,False,qualified
100000060,Entreprise 00060 SAS,I,Hébergement et restauration,3,3,5,False,False,,,False,False,True,sourced
100000061,Entreprise 00061 SAS,C,Industrie manufacturière,15,10,19,False,False,,,False,True,True,sourced
100000062,Entreprise 00062 SAS,C,Industrie manufacturière,56,50,99,False,False,,,True,True,False,sourced
100000063,Entreprise 00063 SAS,F,Construction,3606,2000,4999,True,False,,,False,False,True,sourced
100000064,Entreprise 00064 SAS,G,"Commerce, réparation auto",15,10,19,False,False,,,False,True,True,sourced
100000065,Entreprise 00065 SAS,M,Activités spé. scientifiques/techniques,26,20,49,False,False,,,True,False,True,sourced
100000066,Entreprise 00066 SAS,F,Construction,11,10,19,False,False,,,False,True,True,sourced
100000067,Entreprise 00067 SAS,K,Activités financières et assurance,18,10,19,False,False,,,False,True,True,sourced
100000068,Entreprise 00068 SAS,N,Services administratifs et soutien,2,1,2,False,False,,,False,True,False,sourced
100000069,Entreprise 00069 SAS,M,Activités spé. scientifiques/techniques,12,10,19,False,False,,,True,True,False,rejected
100000070,Entreprise 00070 SAS,M,Activités spé. scientifiques/techniques,44,20,49,False,False,,,False,True,True,qualified
100000071,Entreprise 00071 SAS,H,Transports et entreposage,257,250,499,False,False,,,True,False,True,sourced
100000072,Entreprise 00072 SAS,H,Transports et entreposage,1,1,2,False,False,,,False,False,True,contacted
100000073,Entreprise 00073 SAS,C,Industrie manufacturière,227,200,249,False,False,,,True,False,True,sourced
100000074,Entreprise 00074 SAS,G,"Commerce, réparation auto",12,10,19,False,False,,,False,True,True,sourced
100000075,Entreprise 00075 SAS,G,"Commerce, réparation auto",33,20,49,False,False,,,False,False,True,sourced
100000076,Entreprise 00076 SAS,G,"Commerce, réparation auto",19,10,19,False,False,,,False,True,False,sourced
100000077,Entreprise 00077 SAS,G,"Commerce, réparation auto",12,10,19,False,False,,,True,True,True,sourced
100000078,Entreprise 00078 SAS,M,Activités spé. scientifiques/techniques,7,6,9,False,False,,,False,True,False,contacted
100000079,Entreprise 00079 SAS,M,Activités spé. scientifiques/techniques,27,20,49,False,False,,,False,True,True,sourced
100000080,Entreprise 00080 SAS,S,Autres services,11,10,19,False,False,,,False,False,True,sourced
100000081,Entreprise 00081 SAS,F,Construction,8,6,9,False,False,,,False,True,True,sourced
100000082,Entreprise 00082 SAS,M,Activités spé. scientifiques/techniques,952,500,999,True,True,False,,True,False,False,sourced
100000083,Entreprise 00083 SAS,G,"Commerce, réparation auto",33,20,49,False,False,,,False,True,True,sourced
100000084,Entreprise 00084 SAS,N,Services administratifs et soutien,40,20,49,False,False,,,False,False,False,sourced
100000085,Entreprise 00085 SAS,F,Construction,70,50,99,False,False,,,False,False,True,sourced
100000086,Entreprise 00086 SAS,S,Autres services,4,3,5,False,False,,,True,True,True,sourced
100000087,Entreprise 00087 SAS,J,Information et communication,48,20,49,False,False,,,True,True,True,sourced
100000088,Entreprise 00088 SAS,C,Industrie manufacturière,215,200,249,False,False,,,False,True,False,sourced
100000089,Entreprise 00089 SAS,M,Activités spé. scientifiques/techniques,152,100,199,False,False,,,True,False,False,sourced
100000090,Entreprise 00090 SAS,K,Activités financières et assurance,602,500,999,True,False,,,True,False,False,qualified
100000091,Entreprise 00091 SAS,F,Construction,9,6,9,False,False,,,True,False,True,sourced
100000092,Entreprise 00092 SAS,I,Hébergement et restauration,1003,1000,1999,True,False,,,False,False,False,sourced
100000093,Entreprise 00093 SAS,G,"Commerce, réparation auto",778,500,999,True,False,,,False,False,False,sourced
100000094,Entreprise 00094 SAS,J,Information et communication,320,250,499,False,False,,,False,False,False,sourced
100000095,Entreprise 00095 SAS,M,Activités spé. scientifiques/techniques,801,500,999,True,True,False,,True,True,True,sourced
100000096,Entreprise 00096 SAS,F,Construction,26,20,49,False,False,,,False,False,True,sourced
100000097,Entreprise 00097 SAS,S,Autres services,356,250,499,False,False,,,False,False,True,contacted
100000098,Entreprise 00098 SAS,G,"Commerce, réparation auto",104,100,199,False,False,,,False,True,False,sourced
100000099,Entreprise 00099 SAS,M,Activités spé. scientifiques/techniques,5,3,5,False,False,,,False,True,False,qualified
100000100,Entreprise 00100 SAS,N,Services administratifs et soutien,103,100,199,False,False,,,False,False,True,contacted
100000101,Entreprise 00101 SAS,H,Transports et entreposage,144,100,199,False,False,,,False,False,True,sourced
100000102,Entreprise 00102 SAS,K,Activités financières et assurance,20,20,49,False,False,,,False,False,False,sourced
100000103,Entreprise 00103 SAS,H,Transports et entreposage,359,250,499,False,False,,,True,True,True,sourced
100000104,Entreprise 00104 SAS,H,Transports et entreposage,322,250,499,False,False,,,False,True,True,sourced
100000105,Entreprise 00105 SAS,G,"Commerce, réparation auto",192,100,199,False,False,,,True,True,True,contacted
100000106,Entreprise 00106 SAS,M,Activités spé. scientifiques/techniques,446,250,499,False,False,,,False,True,False,sourced
100000107,Entreprise 00107 SAS,H,Transports et entreposage,2,1,2,False,False,,,False,True,True,contacted
100000108,Entreprise 00108 SAS,F,Construction,698,500,999,True,False,,,False,True,True,sourced
100000109,Entreprise 00109 SAS,F,Construction,2,1,2,False,False,,,True,False,False,sourced
100000110,Entreprise 00110 SAS,G,"Commerce, réparation auto",4,3,5,False,False,,,True,False,True,sourced
100000111,Entreprise 00111 SAS,C,Industrie manufacturière,3708,2000,4999,True,True,True,True,True,True,True,sourced
100000112,Entreprise 00112 SAS,I,Hébergement et restauration,249,200,249,False,False,,,False,False,False,sourced
100000113,Entreprise 00113 SAS,G,"Commerce, réparation auto",1,1,2,False,False,,,False,False,True,sourced
100000114,Entreprise 00114 SAS,S,Autres services,333,250,499,False,False,,,False,True,True,sourced
100000115,Entreprise 00115 SAS,I,Hébergement et restauration,29,20,49,False,False,,,False,False,True,sourced
100000116,Entreprise 00116 SAS,F,Construction,1,1,2,False,False,,,False,False,False,rejected
100000117,Entreprise 00117 SAS,F,Construction,15,10,19,False,False,,,False,False,True,sourced
100000118,Entreprise 00118 SAS,N,Services administratifs et soutien,829,500,999,True,True,True,True,True,False,False,sourced
100000119,Entreprise 00119 SAS,J,Information et communication,2,1,2,False,False,,,False,True,False,sourced
100000120,Entreprise 00120 SAS,F,Construction,1562,1000,1999,True,False,,,False,True,True,sourced
100000121,Entreprise 00121 SAS,M,Activités spé. scientifiques/techniques,4,3,5,False,False,,,False,True,False,sourced
100000122,Entreprise 00122 SAS,S,Autres services,581,500,999,True,True,True,False,True,False,False,sourced
100000123,Entreprise 00123 SAS,H,Transports et entreposage,5,3,5,False,False,,,False,False,True,qualified
100000124,Entreprise 00124 SAS,S,Autres services,23,20,49,False,False,,,False,False,False,sourced
100000125,Entreprise 00125 SAS,G,"Commerce, réparation auto",18,10,19,False,False,,,False,False,True,sourced
100000126,Entreprise 00126 SAS,F,Construction,8,6,9,False,False,,,False,True,True,contacted
100000127,Entreprise 00127 SAS,N,Services administratifs et soutien,7,6,9,False,False,,,False,False,True,sourced
100000128,Entreprise 00128 SAS,S,Autres services,485,250,499,False,False,,,False,True,True,sourced
100000129,Entreprise 00129 SAS,M,Activités spé. scientifiques/techniques,3,3,5,False,False,,,False,False,True,sourced
100000130,Entreprise 00130 SAS,S,Autres services,17,10,19,False,False,,,False,True,True,sourced
100000131,Entreprise 00131 SAS,N,Services administratifs et soutien,2,1,2,False,False,,,False,False,True,sourced
100000132,Entreprise 00132 SAS,F,Construction,771,500,999,True,False,,,False,False,False,sourced
100000133,Entreprise 00133 SAS,F,Construction,10,10,19,False,False,,,True,True,True,sourced
100000134,Entreprise 00134 SAS,C,Industrie manufacturière,29,20,49,False,False,,,False,True,False,sourced
100000135,Entreprise 00135 SAS,S,Autres services,5,3,5,False,False,,,True,True,True,rejected
100000136,Entreprise 00136 SAS,G,"Commerce, réparation auto",17,10,19,False,False,,,False,True,True,rejected
100000137,Entreprise 00137 SAS,S,Autres services,447,250,499,False,False,,,True,True,True,sourced
100000138,Entreprise 00138 SAS,G,"Commerce, réparation auto",45,20,49,False,False,,,False,True,True,sourced
100000139,Entreprise 00139 SAS,F,Construction,674,500,999,True,True,True,True,False,False,False,rejected
100000140,Entreprise 00140 SAS,C,Industrie manufacturière,3,3,5,False,False,,,False,False,True,sourced
100000141,Entreprise 00141 SAS,G,"Commerce, réparation auto",1707,1000,1999,True,True,True,False,False,False,True,sourced
100000142,Entreprise 00142 SAS,G,"Commerce, réparation auto",2,1,2,False,False,,,True,True,False,sourced
100000143,Entreprise 00143 SAS,S,Autres services,167,100,199,False,False,,,False,False,True,sourced
100000144,Entreprise 00144 SAS,G,"Commerce, réparation auto",10,10,19,False,False,,,False,True,False,sourced
100000145,Entreprise 00145 SAS,G,"Commerce, réparation auto",1,1,2,False,False,,,False,True,False,contacted
100000146,Entreprise 00146 SAS,G,"Commerce, réparation auto",2,1,2,False,False,,,False,True,True,contacted
100000147,Entreprise 00147 SAS,G,"Commerce, réparation auto",9,6,9,False,False,,,False,True,True,sourced
100000148,Entreprise 00148 SAS,F,Construction,3,3,5,False,False,,,False,True,False,sourced
100000149,Entreprise 00149 SAS,Q,Santé humaine et action sociale,35,20,49,False,False,,,False,False,True,sourced
100000150,Entreprise 00150 SAS,G,"Commerce, réparation auto",11,10,19,False,False,,,False,True,False,rejected
100000151,Entreprise 00151 SAS,C,Industrie manufacturière,1209,1000,1999,True,True,True,True,False,True,False,sourced
100000152,Entreprise 00152 SAS,C,Industrie manufacturière,9,6,9,False,False,,,True,False,True,sourced
100000153,Entreprise 00153 SAS,S,Autres services,1753,1000,1999,True,False,,,True,True,True,sourced
100000154,Entreprise 00154 SAS,C,Industrie manufacturière,48,20,49,False,False,,,False,True,True,sourced
100000155,Entreprise 00155 SAS,G,"Commerce, réparation auto",1,1,2,False,False,,,False,True,False,sourced
100000156,Entreprise 00156 SAS,G,"Commerce, réparation auto",695,500,999,True,False,,,False,True,False,sourced
100000157,Entreprise 00157 SAS,N,Services administratifs et soutien,945,500,999,True,False,,,False,True,True,sourced
100000158,Entreprise 00158 SAS,H,Transports et entreposage,409,250,499,False,False,,,True,False,False,sourced
100000159,Entreprise 00159 SAS,N,Services administratifs et soutien,265,250,499,False,False,,,False,False,True,sourced
100000160,Entreprise 00160 SAS,N,Services administratifs et soutien,736,500,999,True,True,True,True,False,True,True,sourced
100000161,Entreprise 00161 SAS,M,Activités spé. scientifiques/techniques,5,3,5,False,False,,,False,True,False,sourced
100000162,Entreprise 00162 SAS,C,Industrie manufacturière,1065,1000,1999,True,True,True,True,False,True,False,sourced
100000163,Entreprise 00163 SAS,G,"Commerce, réparation auto",751,500,999,True,False,,,True,True,True,sourced
100000164,Entreprise 00164 SAS,J,Information et communication,3,3,5,False,False,,,False,True,False,sourced
100000165,Entreprise 00165 SAS,M,Activités spé. scientifiques/techniques,19,10,19,False,False,,,False,False,True,contacted
100000166,Entreprise 00166 SAS,F,Construction,321,250,499,False,False,,,False,False,False,sourced
100000167,Entreprise 00167 SAS,I,Hébergement et restauration,25,20,49,False,False,,,False,True,True,sourced
100000168,Entreprise 00168 SAS,Q,Santé humaine et action sociale,2,1,2,False,False,,,True,False,True,sourced
100000169,Entreprise 00169 SAS,H,Transports et entreposage,785,500,999,True,True,True,True,False,True,True,qualified
100000170,Entreprise 00170 SAS,I,Hébergement et restauration,3,3,5,False,False,,,True,False,False,sourced
100000171,Entreprise 00171 SAS,N,Services administratifs et soutien,542,500,999,True,False,,,False,True,True,sourced
100000172,Entreprise 00172 SAS,J,Information et communication,9,6,9,False,False,,,False,True,False,rejected
100000173,Entreprise 00173 SAS,J,Information et communication,172,100,199,False,False,,,False,False,True,contacted
100000174,Entreprise 00174 SAS,C,Industrie manufacturière,9,6,9,False,False,,,False,True,True,sourced
100000175,Entreprise 00175 SAS,G,"Commerce, réparation auto",168,100,199,False,False,,,False,True,True,contacted
100000176,Entreprise 00176 SAS,H,Transports et entreposage,321,250,499,False,False,,,True,True,True,qualified
100000177,Entreprise 00177 SAS,G,"Commerce, réparation auto",15,10,19,False,False,,,True,True,True,sourced
100000178,Entreprise 00178 SAS,M,Activités spé. scientifiques/techniques,184,100,199,False,False,,,True,True,True,sourced
100000179,Entreprise 00179 SAS,G,"Commerce, réparation auto",115,100,199,False,False,,,True,True,True,rejected
100000180,Entreprise 00180 SAS,N,Services administratifs et soutien,420,250,499,False,False,,,True,True,True,contacted
100000181,Entreprise 00181 SAS,M,Activités spé. scientifiques/techniques,6,6,9,False,False,,,False,False,False,qualified
100000182,Entreprise 00182 SAS,F,Construction,99,50,99,False,False,,,False,True,True,sourced
100000183,Entreprise 00183 SAS,K,Activités financières et assurance,2,1,2,False,False,,,False,True,False,sourced
100000184,Entreprise 00184 SAS,F,Construction,854,500,999,True,False,,,False,False,True,sourced
100000185,Entreprise 00185 SAS,K,Activités financières et assurance,10,10,19,False,False,,,False,True,True,sourced
100000186,Entreprise 00186 SAS,G,"Commerce, réparation auto",409,250,499,False,False,,,True,False,True,sourced
100000187,Entreprise 00187 SAS,S,Autres services,1,1,2,False,False,,,False,True,True,sourced
100000188,Entreprise 00188 SAS,Q,Santé humaine et action sociale,50,50,99,False,False,,,False,False,False,qualified
100000189,Entreprise 00189 SAS,G,"Commerce, réparation auto",1100,1000,1999,True,False,,,False,False,True,sourced
100000190,Entreprise 00190 SAS,F,Construction,541,500,999,True,False,,,False,True,True,qualified
100000191,Entreprise 00191 SAS,M,Activités spé. scientifiques/techniques,495,250,499,False,False,,,True,False,True,sourced
100000192,Entreprise 00192 SAS,F,Construction,2950,2000,4999,True,False,,,False,False,True,sourced
100000193,Entreprise 00193 SAS,G,"Commerce, réparation auto",23,20,49,False,False,,,False,True,False,sourced
100000194,Entreprise 00194 SAS,G,"Commerce, réparation auto",26,20,49,False,False,,,False,False,False,sourced
100000195,Entreprise 00195 SAS,C,Industrie manufacturière,493,250,499,False,False,,,False,True,True,sourced
100000196,Entreprise 00196 SAS,F,Construction,367,250,499,False,False,,,False,True,False,sourced
100000197,Entreprise 00197 SAS,C,Industrie manufacturière,1,1,2,False,False,,,True,True,True,sourced
100000198,Entreprise 00198 SAS,C,Industrie manufacturière,919,500,999,True,False,,,True,True,True,sourced
100000199,Entreprise 00199 SAS,N,Services administratifs et soutien,1,1,2,False,False,,,False,True,False,sourced
100000200,Entreprise 00200 SAS,M,Activités spé. scientifiques/techniques,6,6,9,False,False,,,False,False,True,sourced
100000201,Entreprise 00201 SAS,G,"Commerce, réparation auto",277,250,499,False,False,,,True,False,True,sourced
100000202,Entreprise 00202 SAS,Q,Santé humaine et action sociale,425,250,499,False,False,,,False,False,False,sourced
100000203,Entreprise 00203 SAS,S,Autres services,1995,1000,1999,True,False,,,False,True,False,sourced
100000204,Entreprise 00204 SAS,N,Services administratifs et soutien,2,1,2,False,False,,,False,False,True,sourced
100000205,Entreprise 00205 SAS,M,Activités spé. scientifiques/techniques,23,20,49,False,False,,,False,True,True,qualified
100000206,Entreprise 00206 SAS,G,"Commerce, réparation auto",1,1,2,False,False,,,False,False,True,sourced
100000207,Entreprise 00207 SAS,M,Activités spé. scientifiques/techniques,20,20,49,False,False,,,True,False,False,sourced
100000208,Entreprise 00208 SAS,M,Activités spé. scientifiques/techniques,309,250,499,False,False,,,True,True,False,sourced
100000209,Entreprise 00209 SAS,C,Industrie manufacturière,46,20,49,False,False,,,True,True,False,sourced
100000210,Entreprise 00210 SAS,G,"Commerce, réparation auto",717,500,999,True,True,False,,False,True,False,sourced
100000211,Entreprise 00211 SAS,Q,Santé humaine et action sociale,71,50,99,False,False,,,True,False,True,sourced
100000212,Entreprise 00212 SAS,H,Transports et entreposage,2495,2000,4999,True,True,True,False,True,True,False,sourced
100000213,Entreprise 00213 SAS,C,Industrie manufacturière,10,10,19,False,False,,,False,True,True,sourced
100000214,Entreprise 00214 SAS,I,Hébergement et restauration,231,200,249,False,False,,,True,False,False,sourced
100000215,Entreprise 00215 SAS,G,"Commerce, réparation auto",6,6,9,False,False,,,False,False,True,qualified
100000216,Entreprise 00216 SAS,I,Hébergement et restauration,1,1,2,False,False,,,False,False,False,sourced
100000217,Entreprise 00217 SAS,N,Services administratifs et soutien,2,1,2,False,False,,,False,True,True,sourced
100000218,Entreprise 00218 SAS,I,Hébergement et restauration,6,6,9,False,False,,,False,False,True,sourced
100000219,Entreprise 00219 SAS,Q,Santé humaine et action sociale,125,100,199,False,False,,,False,True,True,sourced
100000220,Entreprise 00220 SAS,M,Activités spé. scientifiques/techniques,8,6,9,False,False,,,False,True,True,sourced
100000221,Entreprise 00221 SAS,C,Industrie manufacturière,284,250,499,False,False,,,False,True,True,sourced
100000222,Entreprise 00222 SAS,G,"Commerce, réparation auto",27,20,49,False,False,,,True,False,False,qualified
100000223,Entreprise 00223 SAS,S,Autres services,5,3,5,False,False,,,False,True,False,sourced
100000224,Entreprise 00224 SAS,C,Industrie manufacturière,823,500,999,True,True,False,,True,True,False,contacted
100000225,Entreprise 00225 SAS,F,Construction,2,1,2,False,False,,,True,False,True,sourced
100000226,Entreprise 00226 SAS,K,Activités financières et assurance,697,500,999,True,True,False,,False,True,True,qualified
100000227,Entreprise 00227 SAS,F,Construction,812,500,999,True,True,True,True,False,True,True,sourced
100000228,Entreprise 00228 SAS,G,"Commerce, réparation auto",19,10,19,False,False,,,False,True,False,sourced
100000229,Entreprise 00229 SAS,S,Autres services,3,3,5,False,False,,,False,False,True,sourced
100000230,Entreprise 00230 SAS,C,Industrie manufacturière,9,6,9,False,False,,,True,False,True,sourced
100000231,Entreprise 00231 SAS,G,"Commerce, réparation auto",14,10,19,False,False,,,False,False,True,sourced
100000232,Entreprise 00232 SAS,C,Industrie manufacturière,251,250,499,False,False,,,True,False,True,contacted
100000233,Entreprise 00233 SAS,F,Construction,144,100,199,False,False,,,False,False,True,sourced
100000234,Entreprise 00234 SAS,F,Construction,71,50,99,False,False,,,False,True,True,sourced
100000235,Entreprise 00235 SAS,M,Activités spé. scientifiques/techniques,4,3,5,False,False,,,False,True,True,sourced
100000236,Entreprise 00236 SAS,F,Construction,24,20,49,False,False,,,False,True,True,sourced
100000237,Entreprise 00237 SAS,F,Construction,27,20,49,False,False,,,False,False,True,sourced
100000238,Entreprise 00238 SAS,J,Information et communication,1,1,2,False,False,,,False,True,True,sourced
100000239,Entreprise 00239 SAS,N,Services administratifs et soutien,22,20,49,False,False,,,False,False,True,sourced
100000240,Entreprise 00240 SAS,G,"Commerce, réparation auto",102,100,199,False,False,,,True,True,False,sourced
100000241,Entreprise 00241 SAS,C,Industrie manufacturière,51,50,99,False,False,,,False,True,False,sourced
100000242,Entreprise 00242 SAS,K,Activités financières et assurance,2,1,2,False,False,,,False,False,True,contacted
100000243,Entreprise 00243 SAS,S,Autres services,224,200,249,False,False,,,False,False,True,sourced
100000244,Entreprise 00244 SAS,F,Construction,20,20,49,False,False,,,False,False,False,sourced
100000245,Entreprise 00245 SAS,N,Services administratifs et soutien,29,20,49,False,False,,,False,True,False,sourced
100000246,Entreprise 00246 SAS,F,Construction,664,500,999,True,False,,,False,True,False,sourced
100000247,Entreprise 00247 SAS,Q,Santé humaine et action sociale,10,10,19,False,False,,,False,False,False,sourced
100000248,Entreprise 00248 SAS,J,Information et communication,1116,1000,1999,True,True,False,,False,False,True,sourced
100000249,Entreprise 00249 SAS,F,Construction,354,250,499,False,False,,,True,True,False,qualified
100000250,Entreprise 00250 SAS,G,"Commerce, réparation auto",8,6,9,False,False,,,True,False,True,sourced
100000251,Entreprise 00251 SAS,G,"Commerce, réparation auto",2,1,2,False,False,,,False,True,True,contacted
100000252,Entreprise 00252 SAS,I,Hébergement et restauration,78,50,99,False,False,,,False,False,False,sourced
100000253,Entreprise 00253 SAS,G,"Commerce, réparation auto",57,50,99,False,False,,,False,False,True,sourced
100000254,Entreprise 00254 SAS,K,Activités financières et assurance,12,10,19,False,False,,,False,False,True,sourced
100000255,Entreprise 00255 SAS,J,Information et communication,93,50,99,False,False,,,True,False,False,qualified
100000256,Entreprise 00256 SAS,F,Construction,1812,1000,1999,True,True,False,,False,False,False,sourced
100000257,Entreprise 00257 SAS,M,Activités spé. scientifiques/techniques,603,500,999,True,False,,,False,False,True,contacted
100000258,Entreprise 00258 SAS,G,"Commerce, réparation auto",2,1,2,False,False,,,False,True,True,sourced
100000259,Entreprise 00259 SAS,G,"Commerce, réparation auto",1614,1000,1999,True,False,,,True,True,True,contacted
100000260,Entreprise 00260 SAS,G,"Commerce, réparation auto",76,50,99,False,False,,,True,True,False,sourced
100000261,Entreprise 00261 SAS,N,Services administratifs et soutien,19,10,19,False,False,,,False,False,True,sourced
100000262,Entreprise 00262 SAS,I,Hébergement et restauration,11,10,19,False,False,,,False,True,True,sourced
100000263,Entreprise 00263 SAS,G,"Commerce, réparation auto",2,1,2,False,False,,,True,True,False,sourced
100000264,Entreprise 00264 SAS,Q,Santé humaine et action sociale,14,10,19,False,False,,,False,False,True,sourced
100000265,Entreprise 00265 SAS,M,Activités spé. scientifiques/techniques,112,100,199,False,False,,,False,True,True,qualified
100000266,Entreprise 00266 SAS,S,Autres services,29,20,49,False,False,,,False,False,True,sourced
100000267,Entreprise 00267 SAS,Q,Santé humaine et action sociale,7,6,9,False,False,,,False,True,False,qualified
100000268,Entreprise 00268 SAS,F,Construction,23,20,49,False,False,,,False,True,True,qualified
